timestamp,temperature,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description,Time,Pressure_self_corrected,Pressure_self
1759680000,14.13,13.53,1020,74,9.57,,75,10000,8.23,250,803,Clouds,broken clouds,2025-10-05 17:00:00+01:00,1020.0,
1759687200,13.59,13.02,1021,77,9.64,,75,10000,6.69,250,803,Clouds,broken clouds,2025-10-05 19:00:00+01:00,1021.0,
1759694400,12.93,12.39,1022,81,9.75,,75,10000,6.69,240,803,Clouds,broken clouds,2025-10-05 21:00:00+01:00,1019.7722819622738,1016.7813161696438
1759701600,12.51,11.98,1021,83,9.7,,75,10000,8.23,230,500,Rain,light rain,2025-10-05 23:00:00+01:00,1021.0,
1759708800,12.8,12.28,1021,82,9.81,,75,10000,7.72,230,803,Clouds,broken clouds,2025-10-06 01:00:00+01:00,1021.0,
1759716000,12.93,12.34,1021,79,9.38,,75,10000,7.2,230,803,Clouds,broken clouds,2025-10-06 03:00:00+01:00,1021.0,
1759723200,12.7,12.14,1021,81,9.53,,20,10000,8.75,220,801,Clouds,few clouds,2025-10-06 05:00:00+01:00,1021.0,
1759730400,12.7,12.14,1021,81,9.53,,75,10000,8.23,230,803,Clouds,broken clouds,2025-10-06 07:00:00+01:00,1021.0,
1759737600,14.09,13.46,1022,73,9.33,,20,10000,6.69,230,801,Clouds,few clouds,2025-10-06 09:00:00+01:00,1022.0,
1759744800,16.52,15.87,1022,63,9.46,,20,10000,6.17,220,801,Clouds,few clouds,2025-10-06 11:00:00+01:00,1022.0,
1759752000,18.61,17.88,1022,52,8.57,,40,10000,6.17,230,802,Clouds,scattered clouds,2025-10-06 13:00:00+01:00,1022.0564382055513,1019.0757433070864
1759759200,19.11,18.38,1021,50,8.45,,40,10000,7.2,230,802,Clouds,scattered clouds,2025-10-06 15:00:00+01:00,1021.0,
1759766400,18.31,17.71,1021,58,9.91,,40,10000,4.63,220,802,Clouds,scattered clouds,2025-10-06 17:00:00+01:00,1021.0,
1759773600,16.04,15.61,1020,73,11.21,,75,10000,5.66,230,803,Clouds,broken clouds,2025-10-06 19:00:00+01:00,1020.1251418507795,1017.1357627213114
1759780800,14.89,14.37,1020,74,10.3,,75,10000,6.17,220,803,Clouds,broken clouds,2025-10-06 21:00:00+01:00,1020.0,
1759788000,14.34,13.76,1021,74,9.77,,75,10000,7.72,230,803,Clouds,broken clouds,2025-10-06 23:00:00+01:00,1021.0,
1759795200,13.74,13.13,1020,75,9.39,,20,10000,8.23,230,801,Clouds,few clouds,2025-10-07 01:00:00+01:00,1020.0,
1759802400,13.95,13.36,1020,75,9.6,,75,10000,6.69,230,803,Clouds,broken clouds,2025-10-07 03:00:00+01:00,1020.0,
1759809600,14.01,13.53,1020,79,10.43,,75,10000,7.2,210,803,Clouds,broken clouds,2025-10-07 05:00:00+01:00,1020.0,
1759816800,14.37,13.93,1020,79,10.78,,75,10000,8.23,220,803,Clouds,broken clouds,2025-10-07 07:00:00+01:00,1020.0,
1759824000,15.04,14.64,1020,78,11.24,,75,10000,6.69,220,803,Clouds,broken clouds,2025-10-07 09:00:00+01:00,1020.0,
1759831200,15.53,15.28,1021,82,12.47,,75,6000,6.69,220,300,Drizzle,light intensity drizzle,2025-10-07 11:00:00+01:00,1021.0,
1759838400,16.53,16.33,1021,80,13.07,,75,10000,6.69,220,803,Clouds,broken clouds,2025-10-07 13:00:00+01:00,1020.7664588910786,1017.7799634957981
1759845600,16.81,16.69,1021,82,13.72,,75,10000,6.69,220,803,Clouds,broken clouds,2025-10-07 15:00:00+01:00,1021.0,
1759852800,15.8,15.73,1020,88,13.82,,75,10000,5.66,220,803,Clouds,broken clouds,2025-10-07 17:00:00+01:00,1020.7653616201576,1017.7788612909096
1759860000,14.64,14.54,1022,91,13.19,,75,10000,5.14,330,500,Rain,light rain,2025-10-07 19:00:00+01:00,1022.0,
1759867200,12.93,12.65,1023,91,11.5,,75,10000,3.09,310,803,Clouds,broken clouds,2025-10-07 21:00:00+01:00,1023.0,
1759874400,12.32,11.85,1024,86,10.05,,75,10000,2.57,290,803,Clouds,broken clouds,2025-10-07 23:00:00+01:00,1024.0,
1759881600,10.52,9.79,1024,83,7.76,,75,10000,2.57,310,803,Clouds,broken clouds,2025-10-08 01:00:00+01:00,1024.0,
1759888800,8.17,5.96,1025,87,6.14,,75,10000,3.6,270,803,Clouds,broken clouds,2025-10-08 03:00:00+01:00,1025.0,
1759896000,9.24,7.55,1024,83,6.51,,75,10000,3.09,280,803,Clouds,broken clouds,2025-10-08 05:00:00+01:00,1024.0,
1759903200,9.26,7.29,1025,76,5.25,,75,10000,3.6,270,803,Clouds,broken clouds,2025-10-08 07:00:00+01:00,1025.0,
