Time,Pressure_self,timestamp,temperature,feels_like,Pressure_weather,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description
2025-10-01 08:37:30.953414917+01:00,1018.637924,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:32.015137911+01:00,1018.637924,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:33.076879025+01:00,1018.636551,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:34.138611078+01:00,1018.636017,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:35.200351954+01:00,1018.63327,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:36.262132882+01:00,1018.629913,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:37.323869944+01:00,1018.627853,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:38.385602951+01:00,1018.626328,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:39.447370052+01:00,1018.626328,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:40.509110928+01:00,1018.627167,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:41.570873022+01:00,1018.628235,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:42.632653952+01:00,1018.629913,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:43.694447994+01:00,1018.6306,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:44.756151915+01:00,1018.630753,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:45.817908049+01:00,1018.630981,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:46.879673958+01:00,1018.631897,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:47.941428900+01:00,1018.634949,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
